x	y	w	h	
275	139	80	102	
263	131	80	102	
253	130	80	102	
245	127	80	102	
250	90	80	102	
260	81	80	102	
256	79	80	102	
249	77	80	102	
241	80	80	102	
238	83	80	102	
232	85	80	102	
226	85	80	102	
219	80	80	102	
215	94	80	102	
211	93	80	102	
215	101	80	102	
216	116	80	102	
217	123	80	102	
220	126	80	102	
219	125	80	102	
221	128	80	102	
219	126	80	102	
219	126	80	102	
221	127	80	102	
220	129	80	102	
220	129	80	102	
219	127	80	102	
216	126	80	102	
213	122	80	102	
212	125	80	102	
213	126	80	102	
213	124	80	102	
215	120	80	102	
217	121	80	102	
226	123	80	102	
226	117	80	102	
223	106	80	102	
224	102	80	102	
224	95	80	102	
219	85	80	102	
222	91	80	102	
223	95	80	102	
229	90	80	102	
233	89	80	102	
236	90	80	102	
237	85	80	102	
241	78	80	102	
245	78	80	102	
251	79	80	102	
255	79	80	102	
252	84	80	102	
244	103	80	102	
249	120	80	102	
255	123	80	102	
262	129	80	102	
269	130	80	102	
276	131	80	102	
284	138	80	102	
293	140	80	102	
300	140	80	102	
308	139	80	102	
314	139	80	102	
321	141	80	102	
332	141	80	102	
340	140	80	102	
345	142	80	102	
352	140	80	102	
359	141	80	102	
367	142	80	102	
373	143	80	102	
377	140	80	102	
384	145	80	102	
387	144	80	102	
389	145	80	102	
394	140	80	102	
392	140	80	102	
398	140	80	102	
397	141	80	102	
401	141	80	102	
408	140	80	102	
411	143	80	102	
415	143	80	102	
416	139	80	102	
423	145	80	102	
427	151	80	102	
431	152	80	102	
436	155	80	102	
441	156	80	102	
447	153	80	102	
448	147	80	102	
454	148	80	102	
455	140	80	102	
450	127	80	102	
440	109	80	102	
443	108	80	102	
446	107	80	102	
449	107	80	102	
450	111	80	102	
454	107	80	102	
458	107	80	102	
458	106	80	102	
461	106	80	102	
462	107	80	102	
466	108	80	102	
467	115	80	102	
470	115	80	102	
473	114	80	102	
474	115	80	102	
478	116	80	102	
479	112	80	102	
482	110	80	102	
484	101	80	102	
488	99	80	102	
493	99	80	102	
496	100	80	102	
497	101	80	102	
501	101	80	102	
504	107	80	102	
508	101	80	102	
507	91	80	102	
510	45	80	102	
523	39	80	102	
519	41	80	102	
518	48	80	102	
516	47	80	102	
515	51	80	102	
513	53	80	102	
509	55	80	102	
503	58	80	102	
474	77	80	102	
495	55	80	102	
487	60	80	102	
490	91	80	102	
483	100	80	102	
481	95	80	102	
477	98	80	102	
475	98	80	102	
474	99	80	102	
475	89	80	102	
476	82	80	102	
475	82	80	102	
472	81	80	102	
470	79	80	102	
467	78	80	102	
462	80	80	102	
460	83	80	102	
454	81	80	102	
450	82	80	102	
447	84	80	102	
444	84	80	102	
440	84	80	102	
436	86	80	102	
428	87	80	102	
422	88	80	102	
421	86	80	102	
415	89	80	102	
403	93	80	102	
392	104	80	102	
384	118	80	102	
376	124	80	102	
368	113	80	102	
333	120	80	102	
331	140	80	102	
330	182	80	102	
368	202	80	102	
390	213	80	102	
404	223	80	102	
390	221	80	102	
385	227	80	102	
376	232	80	102	
365	231	80	102	
353	234	80	102	
345	228	80	102	
340	226	80	102	
337	225	80	102	
338	225	80	102	
339	226	80	102	
344	229	80	102	
348	232	80	102	
353	232	80	102	
356	224	80	102	
355	227	80	102	
352	227	80	102	
346	224	80	102	
337	220	80	102	
328	218	80	102	
317	218	80	102	
308	210	80	102	
300	201	80	102	
296	197	80	102	
293	192	80	102	
295	184	80	102	
289	167	80	102	
280	153	80	102	
276	150	80	102	
274	143	80	102	
272	138	80	102	
268	135	80	102	
265	131	80	102	
261	128	80	102	
255	126	80	102	
249	124	80	102	
244	123	80	102	
239	122	80	102	
236	121	80	102	
233	120	80	102	
230	119	80	102	
228	118	80	102	
225	116	80	102	
229	108	80	102	
230	102	80	102	
230	103	80	102	
225	105	80	102	
215	110	80	102	
219	112	80	102	
207	102	80	102	
200	112	80	102	
193	121	80	102	
186	130	80	102	
182	134	80	102	
176	131	80	102	
170	132	80	102	
164	130	80	102	
162	132	80	102	
157	130	80	102	
150	127	80	102	
147	126	80	102	
139	122	80	102	
133	121	80	102	
125	119	80	102	
119	119	80	102	
115	118	80	102	
110	114	80	102	
107	112	80	102	
102	109	80	102	
101	107	80	102	
101	104	80	102	
102	99	80	102	
106	95	80	102	
110	92	80	102	
110	84	80	102	
116	79	80	102	
117	72	80	102	
122	66	80	102	
122	55	80	102	
127	51	80	102	
133	42	80	102	
139	35	80	102	
144	29	80	102	
150	24	80	102	
158	20	80	102	
167	19	80	102	
174	18	80	102	
183	17	80	102	
190	18	80	102	
197	20	80	102	
207	21	80	102	
214	26	80	102	
218	26	80	102	
224	28	80	102	
230	32	80	102	
238	36	80	102	
243	38	80	102	
248	38	80	102	
251	38	80	102	
257	38	80	102	
265	50	80	102	
283	68	80	102	
293	63	80	102	
326	111	80	102	
328	102	80	102	
331	97	80	102	
333	97	80	102	
336	96	80	102	
338	93	80	102	
340	92	80	102	
343	91	80	102	
347	88	80	102	
351	90	80	102	
356	92	80	102	
363	94	80	102	
369	98	80	102	
376	96	80	102	
385	99	80	102	
394	102	80	102	
393	101	80	102	
405	106	80	102	
400	104	80	102	
402	106	80	102	
405	109	80	102	
406	110	80	102	
408	112	80	102	
412	116	80	102	
417	118	80	102	
422	120	80	102	
426	123	80	102	
431	127	80	102	
449	136	80	102	
453	140	80	102	
457	143	80	102	
451	135	80	102	
453	138	80	102	
460	148	80	102	
464	149	80	102	
464	151	80	102	
467	154	80	102	
466	158	80	102	
467	162	80	102	
468	167	80	102	
471	170	80	102	
474	181	80	102	
475	183	80	102	
479	191	80	102	
480	199	80	102	
483	203	80	102	
482	211	80	102	
482	219	80	102	
483	223	80	102	
483	231	80	102	
481	236	80	102	
477	239	80	102	
477	244	80	102	
475	248	80	102	
474	253	80	102	
469	254	80	102	
467	257	80	102	
467	264	80	102	
465	267	80	102	
466	268	80	102	
467	270	80	102	
468	274	80	102	
467	279	80	102	
467	281	80	102	
465	283	80	102	
466	284	80	102	
465	284	80	102	
462	290	80	102	
463	290	80	102	
464	289	80	102	
463	289	80	102	
463	287	80	102	
463	289	80	102	
463	289	80	102	
465	287	80	102	
471	283	80	102	
477	280	80	102	
482	276	80	102	
479	278	80	102	
478	278	80	102	
476	281	80	102	
473	283	80	102	
472	283	80	102	
469	287	80	102	
464	286	80	102	
460	286	80	102	
457	288	80	102	
450	288	80	102	
445	288	80	102	
440	290	80	102	
435	292	80	102	
427	290	80	102	
422	291	80	102	
416	289	80	102	
411	289	80	102	
405	286	80	102	
400	286	80	102	
395	285	80	102	
386	280	80	102	
380	278	80	102	
371	274	80	102	
365	272	80	102	
357	268	80	102	
346	265	80	102	
341	265	80	102	
332	262	80	102	
326	261	80	102	
320	262	80	102	
313	262	80	102	
306	261	80	102	
303	262	80	102	
298	259	80	102	
296	262	80	102	
288	259	80	102	
285	259	80	102	
279	256	80	102	
275	254	80	102	
269	252	80	102	
265	254	80	102	
261	252	80	102	
255	252	80	102	
250	251	80	102	
245	246	80	102	
238	243	80	102	
234	239	80	102	
231	239	80	102	
225	230	80	102	
226	229	80	102	
220	224	80	102	
219	221	80	102	
213	211	80	102	
207	206	80	102	
202	202	80	102	
196	197	80	102	
193	195	80	102	
188	190	80	102	
184	183	80	102	
183	183	80	102	
179	176	80	102	
179	173	80	102	
177	172	80	102	
178	165	80	102	
179	164	80	102	
179	162	80	102	
182	160	80	102	
184	160	80	102	
182	156	80	102	
184	158	80	102	
185	160	80	102	
178	145	80	102	
178	142	80	102	
175	144	80	102	
174	140	80	102	
173	135	80	102	
174	136	80	102	
169	122	80	102	
168	123	80	102	
168	126	80	102	
170	107	80	102	
168	101	80	102	
169	96	80	102	
171	94	80	102	
174	91	80	102	
175	88	80	102	
173	89	80	102	
172	95	80	102	
160	112	80	102	
153	116	80	102	
153	117	80	102	
159	124	80	102	
161	122	80	102	
164	121	80	102	
168	121	80	102	
172	120	80	102	
176	118	80	102	
180	118	80	102	
176	115	80	102	
185	115	80	102	
182	117	80	102	
185	115	80	102	
192	112	80	102	
187	107	80	102	
200	113	80	102	
202	113	80	102	
203	112	80	102	
205	109	80	102	
213	107	80	102	
210	102	80	102	
213	102	80	102	
219	102	80	102	
224	102	80	102	
229	102	80	102	
231	100	80	102	
235	102	80	102	
238	102	80	102	
243	103	80	102	
250	106	80	102	
258	114	80	102	
264	118	80	102	
268	116	80	102	
272	117	80	102	
277	116	80	102	
280	116	80	102	
287	117	80	102	
292	116	80	102	
295	118	80	102	
304	120	80	102	
315	126	80	102	
321	126	80	102	
328	127	80	102	
333	127	80	102	
337	127	80	102	
340	119	80	102	
318	118	87	86	
314	98	87	86	
315	87	87	86	
313	76	87	86	
317	73	87	86	
325	70	87	86	
331	69	87	86	
333	65	87	86	
341	63	87	86	
349	63	87	86	
354	61	87	86	
360	59	87	86	
363	60	87	86	
367	62	87	86	
368	66	87	86	
374	68	87	86	
376	72	87	86	
373	73	87	86	
370	73	87	86	
370	73	87	86	
373	73	87	86	
377	85	87	86	
384	85	87	86	
392	83	87	86	
401	84	87	86	
403	81	87	86	
401	78	87	86	
397	86	87	86	
397	75	87	86	
398	76	87	86	
398	74	87	86	
389	68	87	86	
395	85	87	86	
403	85	87	86	
402	99	87	86	
402	107	87	86	
341	106	87	86	
375	49	87	86	
384	104	87	86	
395	142	87	86	
400	171	87	86	
400	184	87	86	
399	188	87	86	
390	189	87	86	
385	193	87	86	
378	196	87	86	
372	197	87	86	
367	198	87	86	
361	200	87	86	
354	200	87	86	
351	188	87	86	
349	188	87	86	
349	192	87	86	
353	190	87	86	
355	192	87	86	
364	191	87	86	
368	190	87	86	
371	184	87	86	
372	184	87	86	
373	184	87	86	
372	182	87	86	
371	181	87	86	
370	181	87	86	
367	184	87	86	
367	176	87	86	
366	181	87	86	
368	176	87	86	
371	182	87	86	
374	182	87	86	
378	181	87	86	
384	179	87	86	
389	177	87	86	
392	177	87	86	
396	181	87	86	
395	177	87	86	
394	177	87	86	
394	177	87	86	
391	178	87	86	
390	177	87	86	
390	178	87	86	
393	172	87	86	
393	174	87	86	
394	173	87	86	
397	176	87	86	
397	175	87	86	
400	172	87	86	
401	173	87	86	
405	169	87	86	
405	172	87	86	
405	169	87	86	
404	170	87	86	
402	172	87	86	
401	171	87	86	
402	176	87	86	
405	169	87	86	
404	173	87	86	
407	173	87	86	
410	165	87	86	
409	182	87	86	
408	182	87	86	
411	183	87	86	
410	183	87	86	
410	184	87	86	
409	182	87	86	
411	184	87	86	
475	129	73	89	
479	123	73	89	
483	126	73	89	
484	122	73	89	
490	127	73	89	
492	123	73	89	
496	127	73	89	
498	124	73	89	
500	126	73	89	
505	124	73	89	
509	124	73	89	
510	123	73	89	
516	121	73	89	
520	121	73	89	
523	122	73	89	
556	173	73	89	
560	174	73	89	
560	176	73	89	
561	175	73	89	
562	171	73	89	
558	162	73	89	
556	163	73	89	
552	165	73	89	
547	157	73	89	
547	157	73	89	
547	163	73	89	
542	139	73	89	
541	138	73	89	
541	138	73	89	
538	132	73	89	
540	131	73	89	
542	131	73	89	
544	128	73	89	
544	126	73	89	
552	127	73	89	
551	120	73	89	
553	119	73	89	
555	116	73	89	
