x	 y	 w	 h
456 	154 	66 	71 
460 	158 	67 	71 
464 	162 	67 	71 
467 	165 	67 	72 
471 	167 	67 	72 
474 	169 	67 	72 
478 	171 	67 	72 
480 	173 	68 	72 
483 	175 	68 	72 
485 	177 	68 	73 
487 	179 	68 	73 
488 	181 	68 	73 
489 	183 	68 	73 
489 	185 	69 	73 
489 	188 	69 	73 
489 	190 	69 	74 
488 	193 	70 	74 
487 	196 	70 	74 
485 	200 	70 	75 
484 	205 	70 	74 
484 	209 	70 	74 
483 	213 	70 	74 
481 	216 	70 	75 
480 	218 	70 	75 
478 	221 	70 	75 
476 	223 	70 	75 
473 	225 	70 	75 
470 	227 	71 	75 
466 	229 	71 	75 
462 	230 	71 	75 
457 	232 	71 	75 
451 	233 	71 	76 
445 	233 	71 	76 
439 	233 	72 	76 
432 	233 	72 	77 
423 	232 	73 	78 
414 	232 	73 	78 
405 	233 	73 	78 
396 	234 	73 	78 
386 	234 	74 	79 
375 	236 	74 	79 
365 	238 	74 	79 
354 	239 	74 	79 
344 	241 	75 	80 
335 	242 	75 	80 
326 	243 	75 	80 
318 	244 	75 	80 
310 	244 	75 	80 
303 	244 	75 	80 
295 	243 	75 	80 
288 	242 	75 	80 
280 	241 	75 	80 
272 	240 	75 	80 
264 	239 	75 	80 
256 	238 	75 	80 
248 	237 	75 	80 
240 	236 	74 	79 
232 	234 	74 	79 
224 	231 	74 	79 
215 	229 	74 	79 
205 	226 	74 	79 
196 	222 	75 	79 
186 	219 	75 	79 
176 	215 	74 	79 
167 	210 	74 	79 
159 	206 	73 	78 
151 	201 	74 	79 
143 	196 	74 	78 
137 	190 	73 	78 
131 	184 	73 	78 
127 	178 	73 	78 
124 	172 	72 	77 
121 	167 	73 	77 
119 	162 	72 	77 
118 	157 	72 	77 
117 	152 	72 	77 
115 	146 	72 	77 
113 	140 	72 	77 
112 	134 	72 	76 
112 	127 	71 	76 
114 	120 	71 	76 
117 	114 	71 	75 
120 	106 	70 	75 
124 	99 	70 	75 
127 	92 	70 	74 
131 	86 	70 	74 
135 	79 	70 	74 
139 	73 	69 	74 
143 	68 	69 	74 
147 	63 	69 	73 
151 	59 	68 	73 
155 	55 	68 	73 
159 	52 	68 	72 
162 	49 	67 	72 
166 	47 	67 	71 
169 	45 	67 	71 
173 	44 	66 	71 
178 	42 	66 	71 
183 	42 	66 	70 
188 	42 	65 	70 
195 	44 	65 	70 
202 	47 	65 	69 
209 	50 	65 	69 
217 	54 	65 	69 
224 	58 	65 	69 
231 	62 	65 	69 
238 	66 	65 	70 
245 	70 	65 	70 
250 	74 	65 	70 
256 	79 	65 	70 
262 	85 	65 	70 
267 	89 	65 	70 
272 	93 	66 	70 
276 	98 	66 	70 
280 	102 	66 	70 
285 	107 	66 	70 
289 	112 	66 	70 
294 	115 	66 	70 
298 	119 	66 	70 
302 	121 	66 	70 
307 	124 	66 	70 
311 	127 	66 	70 
316 	129 	66 	70 
320 	132 	65 	70 
324 	134 	65 	70 
328 	137 	66 	70 
331 	140 	65 	70 
334 	143 	65 	69 
337 	147 	65 	69 
339 	150 	65 	69 
342 	154 	65 	69 
345 	157 	65 	69 
347 	160 	65 	69 
349 	163 	65 	69 
351 	166 	65 	69 
353 	168 	64 	69 
356 	171 	64 	68 
359 	173 	64 	68 
362 	176 	63 	67 
365 	178 	63 	67 
367 	181 	62 	66 
368 	184 	61 	66 
367 	184 	61 	65 
367 	184 	61 	65 
365 	183 	60 	64 
363 	182 	60 	64 
361 	180 	59 	63 
359 	179 	59 	63 
356 	179 	58 	62 
352 	179 	57 	61 
348 	180 	57 	61 
343 	181 	57 	61 
337 	183 	56 	60 
331 	185 	56 	59 
325 	186 	55 	59 
318 	188 	55 	59 
311 	190 	55 	59 
304 	191 	55 	59 
297 	192 	55 	59 
290 	194 	56 	59 
282 	194 	56 	60 
274 	195 	57 	60 
266 	196 	57 	61 
258 	196 	57 	61 
251 	197 	57 	61 
244 	198 	58 	61 
236 	199 	58 	62 
229 	201 	58 	62 
221 	202 	58 	62 
215 	203 	58 	62 
208 	205 	58 	62 
202 	206 	58 	62 
196 	207 	58 	62 
189 	208 	58 	62 
182 	208 	59 	63 
175 	209 	59 	63 
168 	210 	59 	63 
161 	211 	59 	63 
152 	212 	59 	63 
145 	213 	59 	63 
137 	214 	59 	63 
129 	215 	59 	63 
121 	216 	59 	63 
113 	217 	60 	63 
107 	218 	60 	64 
101 	219 	60 	64 
95 	220 	61 	65 
90 	220 	61 	65 
87 	221 	62 	66 
83 	222 	62 	66 
81 	223 	63 	67 
77 	223 	63 	67 
74 	223 	63 	68 
71 	223 	64 	68 
67 	222 	64 	69 
63 	221 	65 	69 
59 	219 	65 	69 
54 	216 	66 	70 
50 	213 	66 	71 
45 	208 	67 	71 
41 	204 	68 	72 
38 	199 	68 	73 
35 	195 	68 	73 
32 	190 	69 	73 
30 	184 	69 	74 
30 	178 	69 	74 
30 	172 	69 	74 
30 	165 	69 	74 
33 	157 	70 	74 
36 	150 	70 	75 
39 	143 	70 	75 
44 	137 	70 	75 
48 	130 	70 	75 
52 	125 	71 	75 
55 	120 	71 	75 
58 	115 	71 	75 
61 	109 	71 	75 
64 	105 	71 	76 
67 	101 	71 	76 
70 	97 	71 	76 
73 	93 	71 	76 
76 	90 	71 	76 
81 	86 	72 	76 
85 	82 	72 	77 
90 	77 	72 	77 
94 	72 	72 	77 
98 	66 	72 	77 
101 	59 	73 	78 
104 	52 	74 	79 
106 	44 	74 	79 
109 	36 	75 	80 
112 	28 	75 	80 
113 	21 	76 	81 
113 	13 	76 	82 
112 	6 	77 	82 
110 	0 	77 	82 
107 	0 	77 	83 
104 	0 	77 	82 
100 	0 	78 	83 
96 	0 	78 	83 
91 	0 	78 	83 
84 	0 	78 	83 
78 	0 	77 	83 
71 	0 	77 	82 
65 	0 	77 	82 
59 	0 	76 	81 
54 	2 	75 	80 
50 	7 	75 	80 
46 	12 	75 	80 
43 	16 	75 	80 
41 	21 	74 	79 
40 	25 	75 	80 
39 	29 	75 	80 
39 	33 	75 	80 
39 	36 	75 	80 
40 	39 	75 	80 
42 	41 	75 	80 
45 	42 	75 	80 
48 	44 	75 	80 
53 	46 	75 	80 
59 	48 	76 	81 
65 	50 	76 	81 
71 	52 	77 	82 
78 	56 	77 	83 
86 	62 	78 	83 
93 	68 	78 	84 
99 	74 	78 	84 
106 	80 	79 	84 
112 	86 	79 	84 
118 	93 	79 	84 
124 	99 	80 	85 
131 	106 	80 	85 
139 	113 	80 	86 
146 	120 	81 	86 
152 	127 	82 	87 
158 	133 	82 	88 
163 	139 	82 	88 
168 	145 	83 	88 
173 	150 	83 	88 
177 	155 	83 	88 
182 	159 	82 	88 
186 	163 	82 	88 
191 	167 	82 	88 
196 	171 	83 	88 
202 	176 	83 	88 
208 	181 	82 	88 
215 	186 	82 	88 
221 	192 	83 	88 
227 	198 	83 	89 
234 	204 	83 	88 
241 	211 	83 	89 
247 	217 	83 	89 
254 	223 	84 	89 
261 	228 	84 	89 
269 	232 	84 	89 
277 	236 	84 	90 
285 	239 	84 	90 
293 	241 	84 	90 
300 	243 	85 	91 
306 	244 	85 	91 
313 	244 	86 	92 
319 	244 	87 	92 
325 	244 	87 	92 
332 	244 	87 	93 
338 	245 	87 	93 
344 	246 	87 	93 
350 	246 	87 	93 
357 	247 	87 	93 
364 	247 	87 	93 
371 	247 	87 	93 
378 	247 	88 	94 
385 	248 	88 	94 
392 	249 	88 	94 
399 	250 	89 	95 
405 	252 	89 	95 
411 	253 	89 	95 
417 	255 	89 	95 
423 	256 	90 	96 
428 	257 	90 	96 
434 	258 	90 	96 
439 	260 	91 	97 
444 	260 	91 	97 
449 	261 	91 	97 
454 	260 	91 	97 
459 	259 	90 	96 
463 	256 	90 	96 
466 	254 	91 	97 
469 	250 	90 	97 
472 	247 	91 	97 
475 	244 	91 	97 
478 	241 	91 	97 
481 	239 	90 	96 
483 	238 	90 	96 
485 	237 	90 	96 
485 	236 	90 	96 
486 	235 	90 	96 
485 	233 	90 	96 
483 	231 	90 	96 
480 	229 	91 	97 
475 	226 	91 	97 
469 	222 	91 	97 
461 	216 	92 	98 
452 	212 	92 	98 
442 	208 	93 	99 
431 	205 	94 	100 
419 	204 	95 	101 
406 	203 	95 	101 
394 	202 	95 	101 
382 	201 	94 	101 
371 	199 	95 	101 
361 	197 	94 	100 
353 	194 	94 	100 
346 	192 	93 	99 
340 	191 	93 	99 
333 	189 	92 	99 
327 	187 	92 	98 
322 	185 	92 	98 
316 	183 	91 	97 
309 	180 	91 	98 
303 	177 	91 	97 
297 	174 	91 	97 
289 	171 	91 	97 
282 	167 	91 	97 
275 	164 	91 	97 
267 	160 	91 	97 
259 	156 	91 	97 
252 	152 	90 	96 
245 	148 	90 	96 
238 	145 	89 	95 
231 	142 	89 	95 
225 	139 	89 	95 
219 	135 	88 	94 
213 	133 	88 	94 
208 	130 	87 	93 
203 	128 	87 	93 
198 	127 	86 	92 
193 	127 	86 	91 
189 	127 	85 	91 
185 	126 	85 	90 
180 	126 	84 	90 
176 	124 	84 	89 
171 	122 	83 	89 
167 	121 	83 	88 
163 	119 	82 	87 
159 	118 	81 	87 
154 	117 	81 	86 
151 	115 	80 	85 
146 	114 	80 	85 
142 	111 	79 	85 
137 	109 	79 	84 
133 	106 	79 	84 
128 	103 	79 	84 
124 	100 	79 	84 
120 	97 	78 	83 
116 	94 	78 	83 
113 	91 	77 	82 
110 	89 	77 	82 
108 	88 	77 	82 
107 	87 	77 	82 
106 	86 	76 	81 
106 	85 	76 	81 
104 	83 	76 	81 
103 	80 	75 	81 
102 	77 	75 	80 
100 	75 	75 	80 
98 	71 	75 	80 
95 	68 	75 	80 
92 	65 	74 	79 
89 	63 	74 	79 
86 	61 	73 	78 
83 	58 	73 	78 
81 	56 	73 	78 
80 	55 	73 	78 
79 	54 	72 	77 
80 	54 	73 	77 
80 	55 	73 	77 
81 	56 	72 	77 
81 	56 	72 	77 
81 	56 	73 	77 
82 	56 	72 	77 
85 	56 	73 	77 
88 	57 	73 	78 
93 	56 	73 	78 
99 	54 	73 	78 
107 	51 	73 	78 
115 	50 	73 	78 
124 	48 	73 	78 
133 	48 	73 	78 
141 	49 	72 	77 
148 	51 	72 	77 
154 	54 	72 	77 
161 	57 	71 	76 
169 	62 	71 	76 
176 	66 	71 	75 
184 	71 	70 	75 
190 	77 	70 	75 
197 	82 	70 	75 
203 	88 	70 	75 
209 	94 	70 	74 
216 	99 	69 	74 
222 	104 	69 	74 
229 	110 	69 	74 
237 	116 	69 	74 
244 	123 	69 	73 
251 	129 	68 	73 
258 	135 	68 	72 
265 	139 	67 	71 
270 	142 	67 	71 
274 	145 	67 	71 
277 	148 	66 	71 
280 	151 	66 	70 
282 	153 	66 	71 
285 	156 	66 	70 
288 	159 	66 	70 
292 	163 	66 	70 
296 	166 	65 	70 
299 	170 	65 	69 
302 	174 	65 	69 
305 	177 	65 	69 
308 	180 	65 	69 
310 	184 	65 	69 
312 	188 	65 	69 
314 	192 	65 	69 
317 	196 	64 	69 
319 	200 	65 	69 
322 	203 	65 	69 
324 	206 	65 	69 
327 	208 	65 	70 
328 	210 	66 	70 
331 	212 	66 	70 
333 	213 	66 	71 
335 	215 	66 	71 
337 	217 	67 	71 
339 	218 	67 	72 
342 	220 	68 	72 
343 	222 	68 	72 
345 	223 	69 	73 
348 	223 	69 	73 
350 	223 	69 	74 
353 	223 	70 	74 
355 	224 	70 	75 
357 	224 	71 	75 
359 	224 	71 	76 
361 	225 	72 	77 
364 	225 	73 	78 
367 	226 	74 	78 
371 	228 	74 	79 
375 	229 	74 	79 
379 	230 	75 	80 
384 	231 	75 	80 
390 	232 	76 	81 
395 	233 	77 	82 
401 	233 	77 	82 
407 	233 	78 	83 
413 	233 	78 	84 
419 	232 	79 	84 
426 	232 	80 	85 
432 	231 	80 	86 
438 	230 	81 	86 
444 	228 	81 	86 
450 	227 	81 	87 
456 	226 	82 	87 
461 	225 	82 	88 
466 	223 	82 	88 
470 	223 	82 	88 
474 	222 	82 	88 
478 	222 	83 	88 
481 	221 	83 	88 
484 	221 	83 	88 
486 	221 	83 	88 
487 	221 	83 	88 
487 	221 	83 	88 
485 	221 	83 	89 
483 	222 	84 	89 
479 	222 	84 	90 
473 	222 	85 	90 
466 	223 	85 	91 
458 	224 	86 	91 
449 	226 	86 	92 
440 	226 	86 	92 
430 	227 	87 	93 
420 	227 	88 	93 
411 	228 	88 	93 
401 	229 	88 	94 
390 	230 	88 	94 
380 	230 	88 	94 
370 	231 	88 	94 
361 	232 	89 	95 
353 	233 	89 	95 
345 	235 	88 	94 
339 	236 	88 	94 
332 	236 	88 	94 
325 	237 	88 	94 
318 	238 	88 	94 
312 	239 	88 	94 
305 	240 	88 	93 
298 	242 	87 	93 
291 	245 	87 	93 
283 	249 	87 	93 
276 	253 	87 	93 
268 	256 	87 	93 
260 	259 	87 	93 
252 	261 	87 	93 
243 	262 	87 	93 
233 	263 	87 	93 
222 	264 	87 	93 
211 	263 	87 	93 
201 	262 	88 	93 
190 	260 	88 	94 
180 	257 	88 	94 
171 	254 	89 	95 
162 	251 	89 	95 
153 	247 	88 	94 
145 	244 	88 	94 
138 	241 	88 	94 
132 	238 	88 	94 
126 	235 	88 	94 
121 	232 	87 	93 
116 	230 	87 	93 
110 	228 	87 	93 
105 	225 	87 	92 
98 	222 	86 	92 
91 	217 	86 	92 
83 	213 	86 	92 
75 	207 	86 	91 
69 	201 	86 	92 
63 	194 	86 	91 
58 	187 	86 	91 
54 	181 	86 	91 
52 	176 	85 	91 
50 	170 	85 	91 
48 	166 	85 	91 
47 	162 	84 	90 
47 	158 	84 	90 
47 	154 	84 	90 
48 	150 	84 	89 
49 	147 	84 	89 
50 	144 	83 	89 
52 	141 	83 	88 
54 	137 	82 	87 
57 	134 	81 	87 
60 	130 	80 	86 
64 	126 	80 	85 
69 	123 	80 	85 
75 	121 	79 	84 
80 	120 	79 	84 
87 	120 	79 	84 
96 	121 	79 	84 
105 	123 	79 	84 
115 	127 	79 	84 
127 	131 	79 	84 
138 	136 	79 	84 
150 	140 	78 	84 
161 	145 	78 	83 
173 	150 	77 	83 
185 	154 	77 	82 
195 	157 	76 	81 
204 	160 	76 	81 
212 	162 	76 	81 
220 	164 	75 	80 
227 	166 	75 	80 
234 	168 	75 	80 
241 	171 	75 	80 
249 	175 	75 	80 
256 	179 	74 	79 
263 	184 	75 	80 
270 	189 	75 	80 
278 	196 	74 	79 
287 	204 	74 	79 
296 	213 	73 	78 
304 	221 	73 	78 
311 	227 	73 	77 
317 	234 	73 	77 
323 	239 	72 	77 
329 	243 	72 	77 
334 	248 	73 	77 
339 	253 	72 	77 
344 	259 	72 	77 
348 	265 	72 	77 
351 	273 	73 	77 
354 	280 	73 	77 
356 	286 	72 	77 
358 	292 	72 	77 
359 	296 	72 	77 
360 	300 	72 	76 
360 	303 	72 	76 
360 	307 	71 	76 
360 	310 	71 	76 
361 	313 	70 	75 
362 	317 	70 	75 
363 	320 	70 	75 
364 	324 	70 	75 
366 	327 	70 	75 
367 	331 	69 	74 
369 	336 	69 	74 
371 	340 	69 	73 
373 	342 	69 	73 
373 	344 	69 	73 
374 	344 	68 	73 
374 	342 	68 	73 
373 	340 	69 	73 
372 	338 	69 	74 
368 	335 	70 	75 
362 	333 	71 	76 
354 	332 	72 	77 
345 	331 	73 	77 
335 	331 	73 	78 
324 	331 	74 	79 
313 	332 	74 	79 
301 	332 	75 	80 
290 	333 	76 	81 
277 	334 	76 	81 
265 	334 	77 	82 
254 	334 	78 	83 
242 	333 	78 	83 
231 	332 	79 	84 
221 	331 	79 	84 
211 	329 	79 	85 
200 	326 	80 	86 
191 	324 	81 	86 
182 	322 	81 	86 
173 	320 	81 	86 
166 	318 	81 	86 
158 	316 	81 	86 
151 	313 	81 	87 
144 	311 	82 	87 
138 	309 	82 	87 
132 	307 	82 	87 
126 	304 	82 	87 
119 	301 	82 	87 
113 	299 	82 	87 
106 	295 	82 	87 
100 	292 	82 	88 
94 	287 	82 	88 
87 	282 	82 	87 
81 	277 	82 	88 
76 	271 	83 	88 
71 	265 	83 	88 
67 	259 	83 	89 
63 	252 	83 	89 
60 	245 	84 	89 
56 	237 	84 	90 
52 	230 	85 	91 
50 	222 	86 	91 
50 	215 	87 	93 
50 	208 	87 	93 
51 	201 	88 	94 
53 	194 	88 	94 
55 	187 	88 	94 
58 	180 	89 	94 
62 	173 	89 	95 
67 	167 	88 	94 
72 	161 	88 	94 
77 	156 	88 	94 
84 	151 	89 	94 
90 	148 	89 	94 
97 	146 	89 	95 
105 	145 	89 	95 
114 	145 	89 	95 
123 	145 	89 	95 
133 	144 	89 	95 
143 	143 	90 	96 
152 	142 	90 	96 
162 	140 	90 	96 
172 	140 	90 	96 
181 	139 	90 	96 
190 	139 	90 	96 
197 	140 	90 	96 
205 	140 	90 	96 
212 	141 	90 	96 
219 	141 	89 	95 
224 	141 	90 	96 
230 	142 	89 	95 
235 	142 	89 	95 
240 	143 	89 	95 
245 	143 	89 	95 
249 	143 	89 	95 
254 	143 	89 	95 
259 	143 	89 	95 
265 	143 	89 	95 
271 	144 	89 	95 
277 	144 	89 	95 
285 	143 	89 	95 
292 	143 	89 	95 
299 	143 	89 	95 
307 	142 	89 	95 
314 	141 	89 	95 
322 	141 	89 	95 
330 	139 	89 	95 
338 	138 	89 	95 
346 	137 	89 	95 
353 	136 	89 	94 
360 	135 	88 	94 
367 	133 	87 	93 
372 	132 	87 	93 
377 	131 	86 	92 
381 	130 	86 	92 
385 	129 	86 	92 
388 	127 	86 	92 
390 	125 	86 	91 
393 	123 	85 	91 
395 	121 	85 	91 
397 	119 	85 	91 
397 	116 	85 	91 
397 	112 	85 	91 
397 	109 	85 	91 
396 	106 	85 	91 
394 	104 	86 	91 
393 	102 	86 	92 
391 	100 	86 	92 
389 	99 	87 	92 
388 	99 	87 	93 
387 	99 	87 	93 
